ess_round,year,series,response_category,freq,percent,cum_percent
9,2018,Trust in EU Parliament,Sceptical European,699.5294,34.92,34.92
9,2018,Trust in EU Parliament,Neutral answer (5),351.1183,17.53,52.45
9,2018,Trust in EU Parliament,Pro-European,952.3523,47.55,100.0
11,2023,Trust in EU Parliament,Sceptical European,578.3055,31.33,31.33
11,2023,Trust in EU Parliament,Neutral answer (5),357.7522,19.38,50.71
11,2023,Trust in EU Parliament,Pro-European,909.9423,49.29,100.0
9,2018,Attitude to EU Unification,Sceptical European,578.2555,28.9,28.9
9,2018,Attitude to EU Unification,Neutral answer (5),578.0357,28.89,57.79
9,2018,Attitude to EU Unification,Pro-European,844.7089,42.21,100.0
11,2023,Attitude to EU Unification,Sceptical European,501.5265,27.42,27.42
11,2023,Attitude to EU Unification,Neutral answer (5),465.6937,25.46,52.88
11,2023,Attitude to EU Unification,Pro-European,861.7798,47.12,100.0
9,2018,Emotional Attachment to Europe,Sceptical European,556.1457,25.39,25.39
9,2018,Emotional Attachment to Europe,Neutral answer (5),409.7078,18.71,44.1
9,2018,Emotional Attachment to Europe,Pro-European,1224.1465,55.9,100.0
11,2023,Emotional Attachment to Europe,Sceptical European,447.4392,22.32,22.32
11,2023,Emotional Attachment to Europe,Neutral answer (5),330.6867,16.49,38.81
11,2023,Emotional Attachment to Europe,Pro-European,1226.8741,61.19,100.0
