category,group_type,group_value,value,unit
Strongly in favour,gender,Male,30.71,percent
Somewhat in favour,gender,Male,32.68,percent
Neither in favour nor against,gender,Male,17.99,percent
Somewhat against,gender,Male,12.67,percent
Strongly against,gender,Male,5.95,percent
Strongly in favour,gender,Female,40.81,percent
Somewhat in favour,gender,Female,31.87,percent
Neither in favour nor against,gender,Female,13.9,percent
Somewhat against,gender,Female,7.75,percent
Strongly against,gender,Female,5.67,percent
