ess_round,year,response_category,freq,percent,cum_percent
1,2002,Very good,903.3982,44.18,44.18
1,2002,Good,845.7302,41.36,85.53
1,2002,Fair/bad/very bad,295.8716,14.47,100.0
2,2004,Very good,1059.5583,46.39,46.39
2,2004,Good,930.7064,40.75,87.14
2,2004,Fair/bad/very bad,293.7353,12.86,100.0
3,2006,Very good,678.5132,37.8,37.8
3,2006,Good,813.1131,45.3,83.1
3,2006,Fair/bad/very bad,303.3737,16.9,100.0
4,2008,Very good,802.9836,45.52,45.52
4,2008,Good,693.5385,39.32,84.84
4,2008,Fair/bad/very bad,267.4779,15.16,100.0
5,2010,Very good,1155.5286,44.87,44.87
5,2010,Good,1009.6994,39.21,84.09
5,2010,Fair/bad/very bad,409.772,15.91,100.0
6,2012,Very good,1137.5555,43.29,43.29
6,2012,Good,1085.9468,41.32,84.61
6,2012,Fair/bad/very bad,404.4977,15.39,100.0
7,2014,Very good,1006.4402,42.13,42.13
7,2014,Good,1019.8469,42.69,84.82
7,2014,Fair/bad/very bad,362.7129,15.18,100.0
8,2016,Very good,1146.8579,41.61,41.61
8,2016,Good,1124.6933,40.81,82.42
8,2016,Fair/bad/very bad,484.4488,17.58,100.0
9,2018,Very good,928.9809,41.94,41.94
9,2018,Good,879.5372,39.71,81.65
9,2018,Fair/bad/very bad,406.4819,18.35,100.0
10,2021/22,Very good,797.2911,45.1,45.1
10,2021/22,Good,685.7941,38.79,83.88
10,2021/22,Fair/bad/very bad,284.9148,16.12,100.0
11,2023,Very good,753.3482,37.37,37.37
11,2023,Good,886.2042,43.96,81.33
11,2023,Fair/bad/very bad,376.4476,18.67,100.0
