ess_round,year,series,value
1,2002,Belonging to a religion (% Yes),81.1
2,2004,Belonging to a religion (% Yes),86.25
3,2006,Belonging to a religion (% Yes),79.31
4,2008,Belonging to a religion (% Yes),78.89
5,2010,Belonging to a religion (% Yes),77.09
6,2012,Belonging to a religion (% Yes),76.48
7,2014,Belonging to a religion (% Yes),73.64
8,2016,Belonging to a religion (% Yes),71.96
9,2018,Belonging to a religion (% Yes),64.85
10,2021/22,Belonging to a religion (% Yes),60.91
11,2023,Belonging to a religion (% Yes),68.09
